timestamp,chip_id,power_mw,temperature_c,timing_errors
2023-01-01 00:00:13,chip_32,3602,43.37,0
2023-01-01 00:00:41,chip_10,5950,68.84,0
2023-01-01 00:01:14,chip_20,2231,35.0,0
2023-01-01 00:01:38,chip_44,6381,74.45,0
2023-01-01 00:02:08,chip_49,7205,83.32,0
2023-01-01 00:02:17,chip_33,3356,41.99,0
2023-01-01 00:03:34,chip_13,5733,74.79,0
2023-01-01 00:04:58,chip_45,5410,60.63,3
2023-01-01 00:05:46,chip_27,4239,49.66,0
2023-01-01 00:07:20,chip_21,5901,73.0,0
2023-01-01 00:08:58,chip_27,6126,67.66,0
2023-01-01 00:10:22,chip_36,4426,50.89,0
2023-01-01 00:11:38,chip_49,6090,74.68,0
2023-01-01 00:12:10,chip_1,4692,55.64,0
2023-01-01 00:13:04,chip_40,5315,73.06,0
2023-01-01 00:14:46,chip_6,5644,56.43,0
2023-01-01 00:15:59,chip_38,3308,42.9,0
2023-01-01 00:16:19,chip_44,4377,51.26,0
2023-01-01 00:18:13,chip_33,6877,86.47,1
2023-01-01 00:18:42,chip_26,6526,78.51,0
2023-01-01 00:19:45,chip_35,2857,38.41,0
2023-01-01 00:19:47,chip_40,2830,35.0,0
2023-01-01 00:21:32,chip_17,4388,44.32,0
2023-01-01 00:22:09,chip_32,7164,71.52,0
2023-01-01 00:22:13,chip_7,4961,64.86,0
2023-01-01 00:24:02,chip_46,5168,57.57,0
2023-01-01 00:25:09,chip_22,4364,48.95,0
2023-01-01 00:27:08,chip_27,4511,54.39,0
2023-01-01 00:27:34,chip_19,3826,55.29,0
2023-01-01 00:29:22,chip_16,5604,64.78,0
2023-01-01 00:30:09,chip_7,7567,81.37,0
2023-01-01 00:30:22,chip_49,5565,65.48,0
2023-01-01 00:32:07,chip_28,4407,57.85,0
2023-01-01 00:33:16,chip_30,4173,50.39,0
2023-01-01 00:33:55,chip_21,5123,62.95,0
2023-01-01 00:35:06,chip_0,6778,80.26,0
2023-01-01 00:36:17,chip_20,4522,62.2,0
2023-01-01 00:36:57,chip_4,4099,51.27,0
2023-01-01 00:38:33,chip_44,8511,93.97,0
2023-01-01 00:40:24,chip_41,7241,90.09,0
2023-01-01 00:41:46,chip_28,6666,86.89,0
2023-01-01 00:43:18,chip_14,6025,67.47,0
2023-01-01 00:44:06,chip_33,5120,69.58,0
2023-01-01 00:44:09,chip_1,4107,61.29,0
2023-01-01 00:45:02,chip_3,4584,62.6,0
2023-01-01 00:46:38,chip_39,5324,57.07,0
2023-01-01 00:48:07,chip_35,3053,36.64,0
2023-01-01 00:49:28,chip_38,5301,59.9,0
2023-01-01 00:50:39,chip_23,5534,68.83,2
2023-01-01 00:51:57,chip_1,3434,40.58,4
2023-01-01 00:53:46,chip_48,1923,35.0,0
2023-01-01 00:55:17,chip_3,3190,42.31,3
2023-01-01 00:55:23,chip_36,5576,72.53,0
2023-01-01 00:57:10,chip_49,7214,79.33,0
2023-01-01 00:57:19,chip_3,3947,51.9,0
2023-01-01 00:58:06,chip_37,6267,69.85,0
2023-01-01 00:58:54,chip_3,3407,51.75,1
2023-01-01 00:59:37,chip_6,4902,65.59,0
2023-01-01 01:00:44,chip_21,3803,41.4,0
2023-01-01 01:01:51,chip_6,4898,66.01,0
2023-01-01 01:02:30,chip_15,6346,69.11,0
2023-01-01 01:04:00,chip_49,3611,51.3,0
2023-01-01 01:05:35,chip_47,3407,41.99,0
2023-01-01 01:06:36,chip_25,3926,49.08,0
2023-01-01 01:07:05,chip_25,4818,54.27,0
2023-01-01 01:07:57,chip_1,3893,50.28,0
2023-01-01 01:09:40,chip_1,3861,49.32,0
2023-01-01 01:10:19,chip_6,12000,110.0,0
2023-01-01 01:11:48,chip_27,8267,89.89,0
2023-01-01 01:13:35,chip_25,4603,56.76,0
2023-01-01 01:13:41,chip_20,3419,36.75,0
2023-01-01 01:15:37,chip_41,5254,65.41,0
2023-01-01 01:16:38,chip_20,6204,75.95,0
2023-01-01 01:17:04,chip_37,5862,67.95,0
2023-01-01 01:18:39,chip_47,6513,79.68,0
2023-01-01 01:18:42,chip_36,4571,58.25,0
2023-01-01 01:20:16,chip_4,8130,91.42,0
2023-01-01 01:21:20,chip_21,4629,61.16,0
2023-01-01 01:22:01,chip_31,8980,99.27,0
2023-01-01 01:22:43,chip_41,4708,58.16,0
2023-01-01 01:22:48,chip_38,5252,58.91,0
2023-01-01 01:24:33,chip_47,4615,66.42,0
2023-01-01 01:26:06,chip_41,6405,73.87,0
2023-01-01 01:27:30,chip_23,3954,56.15,0
2023-01-01 01:28:52,chip_7,5267,63.42,0
2023-01-01 01:29:29,chip_13,3606,50.08,0
2023-01-01 01:29:34,chip_6,6141,66.67,0
2023-01-01 01:30:47,chip_9,5776,65.8,0
2023-01-01 01:31:47,chip_38,4717,53.76,0
2023-01-01 01:33:18,chip_43,6192,74.75,0
2023-01-01 01:34:46,chip_22,5281,69.73,0
2023-01-01 01:36:39,chip_1,4204,54.65,0
2023-01-01 01:38:38,chip_15,7204,80.92,0
2023-01-01 01:39:52,chip_23,5321,63.03,0
2023-01-01 01:41:13,chip_26,4228,58.57,0
2023-01-01 01:42:59,chip_30,1367,35.0,0
2023-01-01 01:43:08,chip_14,5646,66.87,0
2023-01-01 01:44:24,chip_35,1485,35.0,0
2023-01-01 01:44:33,chip_42,3140,40.12,0
2023-01-01 01:46:21,chip_20,6465,79.81,0
2023-01-01 01:46:31,chip_49,7654,90.43,0
2023-01-01 01:47:57,chip_39,4868,61.11,0
2023-01-01 01:48:46,chip_4,5398,72.94,0
2023-01-01 01:50:43,chip_41,2112,35.0,0
2023-01-01 01:52:05,chip_35,5115,67.04,0
2023-01-01 01:53:49,chip_5,3677,39.63,0
2023-01-01 01:53:56,chip_7,8317,103.14,0
2023-01-01 01:55:11,chip_5,5501,56.06,0
2023-01-01 01:55:21,chip_29,5378,60.62,0
2023-01-01 01:56:36,chip_24,4810,58.02,0
2023-01-01 01:57:24,chip_25,4871,58.24,0
2023-01-01 01:59:01,chip_19,4738,54.92,0
2023-01-01 01:59:20,chip_40,7964,89.99,4
2023-01-01 01:59:52,chip_49,5575,67.37,0
2023-01-01 02:01:35,chip_4,6999,73.54,0
2023-01-01 02:02:50,chip_30,1158,35.0,0
2023-01-01 02:03:55,chip_27,6110,77.14,0
2023-01-01 02:05:23,chip_13,5004,69.41,0
2023-01-01 02:05:30,chip_47,2496,36.88,0
2023-01-01 02:06:21,chip_11,6610,78.53,0
2023-01-01 02:06:38,chip_14,8653,86.93,3
2023-01-01 02:07:32,chip_48,6050,64.43,0
2023-01-01 02:09:11,chip_27,5326,63.02,0
2023-01-01 02:10:44,chip_18,7984,85.08,0
2023-01-01 02:12:24,chip_22,4760,73.07,0
2023-01-01 02:13:39,chip_2,4264,52.8,0
2023-01-01 02:14:44,chip_39,6849,73.74,0
2023-01-01 02:16:32,chip_9,6134,83.15,0
2023-01-01 02:17:03,chip_26,7451,82.54,0
2023-01-01 02:18:28,chip_37,5913,84.07,0
2023-01-01 02:19:24,chip_20,3190,42.65,3
2023-01-01 02:19:37,chip_14,6422,81.0,0
2023-01-01 02:19:43,chip_43,5656,62.62,0
2023-01-01 02:21:24,chip_45,3558,43.66,0
2023-01-01 02:22:20,chip_13,5657,68.76,0
2023-01-01 02:23:15,chip_2,4793,54.38,0
2023-01-01 02:24:17,chip_0,5232,60.0,0
2023-01-01 02:25:54,chip_26,6158,70.34,0
2023-01-01 02:26:30,chip_3,3335,36.09,0
2023-01-01 02:27:29,chip_6,4652,53.39,0
2023-01-01 02:27:45,chip_27,8003,91.19,0
2023-01-01 02:28:00,chip_5,5826,68.65,0
2023-01-01 02:29:33,chip_6,4238,51.16,0
2023-01-01 02:29:54,chip_25,6319,79.59,4
2023-01-01 02:31:48,chip_35,4740,56.41,0
2023-01-01 02:32:09,chip_24,6256,71.71,0
2023-01-01 02:32:35,chip_37,6069,60.9,0
2023-01-01 02:33:58,chip_46,2492,35.0,0
2023-01-01 02:35:28,chip_38,5854,72.64,4
2023-01-01 02:36:23,chip_45,4964,65.92,0
2023-01-01 02:37:50,chip_19,6954,77.38,0
2023-01-01 02:39:22,chip_35,8032,95.76,0
2023-01-01 02:40:23,chip_2,2799,42.52,0
2023-01-01 02:41:33,chip_11,3692,44.76,0
2023-01-01 02:42:07,chip_3,3770,40.72,0
2023-01-01 02:43:20,chip_41,6617,74.96,0
2023-01-01 02:44:22,chip_7,4103,44.29,0
2023-01-01 02:45:34,chip_30,3644,48.95,0
2023-01-01 02:47:10,chip_8,1751,35.0,0
2023-01-01 02:47:27,chip_8,2667,37.89,0
2023-01-01 02:49:20,chip_7,3742,52.68,0
2023-01-01 02:51:08,chip_49,5716,65.45,0
